asset_id,canonical_name,aliases,development_codes,target,payload,linker,indication,company,clinical_phase,adc_scope,catalog_status,source_count,sources,nct_ids,date_added_to_table
NAR_DRG0GYNBS,XMT-1522,"TAK 522; TAK-522; TAK522; XMT 1522; XMT-1522; XMT-1522, TAK-522; XMT1522",,Receptor tyrosine-protein kinase erbB-2 (HER2),,,,"Mersana Therapeutics, Inc; Adimab LLC; Takeda Pharmaceutical Co., Ltd",Phase 1 (Terminated),PRESUMED_ADC,MULTISOURCE_CONFIRMED,5,nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed,,2026-09-01
NAR_DRG0GZGHN,SAR-566658,Anti-CA6-DM4-immunoconjugate-SAR566658; Anti-CA6-antibody-drug-conjugate; HuDS6-DM4; SAR 566658; SAR-566658; SAR56 6658; SAR566658; huDS6-DM4,,Carbonic anhydrase 6 (CA6),,,,"Sanofi; ImmunoGen, Inc",Phase 2 (Terminated),REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT01156870; NCT02984683,2026-09-01
NAR_DRG0GZPSF,JY-023,JY 023; JY023,,Undisclosed,,,,"Beijing Eastern Biotech Co., Ltd",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HBGGX,LNL-008,LNL008; LNL 008,,Claudin-18.2 (CLDN18.2),,,,"L&L Biopharma Co., LTD",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HCDAC,ATRC-301,ATRC301; ATRC 301,,Ephrin type-A receptor 2 (EPHA2),,,,"Atreca, Inc",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HDUGB,BAT-8010,,,,,,,,Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,,2026-09-01
NAR_DRG0HEAGN,DB-1202,DB 1202; DB-1202; DB1202,,Undisclosed,,,,Duality Biologics,Phase 1/2,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT05785728,2026-09-01
NAR_DRG0HEJWD,SC-011,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HGHXE,MHB088C,,,,,,,,Phase 2,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,,2026-09-01
NAR_DRG0HHXRF,AR081,AR 081; AR081,,Undisclosed,,,,"YBiologics, Inc",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HKEBI,ANT-045,ANT045; ANT 045,,Insulin-like growth factor 1 receptor (IGF1R),,,,Antikor Biopharma Ltd,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HMQMZ,KTN0182A,KTN-0182A; KTN 0182A,,Mast/stem cell growth factor receptor Kit (KIT),,,,"Kolltan Pharmaceuticals, Inc; Celldex Therapeutics, Inc",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HOBUN,OMTX-705,MTX5-CYT; OMTX 705; OMTX-705; OMTX705,,Prolyl endopeptidase FAP (FAP),,,,"Oncomatryx Biopharma SL; Inxmed (Nanjing) Co., Ltd; InxMed (Hong Kong) Limited",Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,5,nar_reference; clinicaltrials; conference_abstract_corpus; conference_crossref_search; europe_pmc,,2026-09-01
NAR_DRG0HPEHO,BL-B029A1,BL-B029; BLB029; BL B029,,Undisclosed,,,,"Systimmune, Inc; Sichuan Baili Pharmaceutical Co., Ltd",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HPUIL,Farletuzumab ecteribulin,ER-001159569; Eribulin/farletuzumab antibody drug conjugate; Farletuzumab ecteribulin; Farletuzumab/eribulin ADC; MORAb 202; MORAb-202; VCP-Eribulin,,Folate receptor alpha (FOLR1),,,,"Eisai Co., Ltd; Bristol Myers Squibb Co",Phase 1/2,PRESUMED_ADC,MULTISOURCE_CONFIRMED,4,nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc,,2026-09-01
NAR_DRG0HQVXQ,TORL-3-600,TORL-3-600; TORL-3-600 ADC; TORL-3-600-ADC,,Cadherin-17 (CDH17),,,,"TORL Biotherapeutics LLC; Translational Research In Oncology US, Inc",Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HTJXN,TQB2103,TQB 2103; TQB-2103; TQB2103,,Claudin-18.2 (CLDN18.2),,,,"Nanjing Shunxin Pharmaceutical Co., Ltd; Sino Biopharmaceutical Ltd",Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,,2026-09-01
NAR_DRG0HVSBG,BDC-1001,BDC 1001; BDC-1001; Boltbody ISAC BDC-1001,,Receptor tyrosine-protein kinase erbB-2 (HER2),,,,"Bolt Biotherapeutics, Inc",Phase 2 (Terminated),REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT04278144,2026-09-01
NAR_DRG0HWAWD,Zapadcine-1,Zapadcine 1; DR5 mAb-Py-VC-PAB-MMAD,,Tumor necrosis factor receptor superfamily member 10B (TNFRSF10B),,,,,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HWLAE,T320-ADC,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HXUZU,MBK-101,MBK 101; MBK101,,Undisclosed,,,,Mablink Bioscience,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0HYRZD,BAY-1862864,BAY 1862864; BAY-1862864; BAY1862864; CD22-Thorium-conjugate; Epratuzumab Th-227 conjugate; epratuzumab-227Th-conjugate; epratuzumab-Th227-conjugate,,B-cell receptor CD22 (CD22),,,,Bayer AG,Phase 1 (Terminated),REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0IBMMG,IOG-101,Fusion proteins (ioGenetics); IOG101; IOG 101,,Undisclosed,,,,Iogenetics LLC,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0ICCWP,Elatatug vedotin,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT05156866,2026-09-01
NAR_DRG0ICRYT,Oportuzumab monatox,4D5MOCB-ETA; Anti-ECAM exotoxin A fusion protein; B-4845; Oportuzumab monatox; Proxinium; VB-4847; VB-845; VB4-845; Vicineum; Vicinium; Vysyneum; oportuzumab monatox-qqrs,,Epithelial cell adhesion molecule (EPCAM),,,,"Sesen Bio; Qilu Pharmaceutical Co., Ltd; Baxter Oncology GmbH; Viventia Bio, Inc",Phase 3,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT00462488,2026-09-01
