asset_id	canonical_name	aliases	development_codes	modality	adc_scope	target	company	highest_stage	development_status	nct_ids	first_seen	last_seen	sources	source_count	evidence_ids	catalog_status
NAR_DRG0BBYHA	Bivatuzumab mertansine	Anti-CD44v6-DM1 immunoconjugate; BIW1-1; BIWI-1; Bivatuzumab mertansine; Monoclonal antibody CD44v6-DM1 immunoconjugate			REFERENCE_UNCLASSIFIED	CD44 antigen (CD44)	ImmunoGen, Inc; Boehringer Ingelheim GmbH	Phase1	Phase 1 (Terminated)	NCT02254005; NCT02254018; NCT02254031; NCT02254044			nar_reference	1	DRG0BBYHA	REFERENCE_CONFIRMED
NAR_DRG0BCSND	BSI-077	Anticlaudin18.2 monoclonal antibody Biosion; BSI077; BSI 077			REFERENCE_UNCLASSIFIED	Claudin-18.2 (CLDN18.2)	Biosion, Inc	Investigative	Investigative				nar_reference	1	DRG0BCSND	REFERENCE_CONFIRMED
NAR_DRG0BDOJD	BL-M005A2	BLM005A2; BL M005A2			REFERENCE_UNCLASSIFIED	Undisclosed	Systimmune, Inc	Investigative	Investigative				nar_reference	1	DRG0BDOJD	REFERENCE_CONFIRMED
NAR_DRG0BFNMH	GQ-1001	GQ 1001; GQ-1001; GQ1001; GQ1001(Trastuzumab-ADC)		PRESUMED_STRICT_ADC	PRESUMED_ADC	Receptor tyrosine-protein kinase erbB-2 (HER2)	GeneQuantum Healthcare (Suzhou) Co. Ltd	Phase1	Phase 1	NCT04450732; NCT05575804			nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	4	DRG0BFNMH; ADC_SUFFIX_dca5e5ba89e0	MULTISOURCE_CONFIRMED
NAR_DRG0BGJNX	TAK-500	TAK 500; TAK-500; TAK500		PRESUMED_STRICT_ADC	PRESUMED_ADC	C-C chemokine receptor type 2 (CCR2)	Takeda Pharmaceutical Co., Ltd	Phase2	Phase 1/2 (Terminated)	NCT04420884; NCT04879849			nar_reference; europe_pmc	2	DRG0BGJNX; ADC_SUFFIX_8a6893c4db01	MULTISOURCE_CONFIRMED
NAR_DRG0BGQOD	ADCT-901	3A4-PL1601; ADCT 901; ADCT-901; ADCT901			REFERENCE_UNCLASSIFIED	Kidney-associated antigen 1 (KAAG1)	ADC Therapeutics SA; Overland Pharmaceuticals	Phase1	Phase 1				nar_reference	1	DRG0BGQOD	REFERENCE_CONFIRMED
NAR_DRG0BIQVN	AZD-5335			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase2	Phase 2				nar_reference; clinicaltrials; conference_abstract_corpus	3	DRG0BIQVN; ADC_SUFFIX_270c18018949	MULTISOURCE_CONFIRMED
NAR_DRG0BJYDH	LMB-12	LMB 12; SS1-dsFv-LRggs			REFERENCE_UNCLASSIFIED	Mesothelin (MSLN)		Investigative	Investigative				nar_reference	1	DRG0BJYDH	REFERENCE_CONFIRMED
NAR_DRG0BKLSW	SLV-324				REFERENCE_UNCLASSIFIED			Phase1	Phase 1	NCT07108114			nar_reference	1	DRG0BKLSW	REFERENCE_CONFIRMED
NAR_DRG0BLINK	ALT-Q5	ALT-Q5 ADC; ALT Q5 ADC; Q5-drug conjugate (Alteogen); ALT Q5; ALT-05; ALTQ5			REFERENCE_UNCLASSIFIED	Folate receptor alpha (FOLR1)	Alteogen, Inc	Investigative	Investigative				nar_reference	1	DRG0BLINK	REFERENCE_CONFIRMED
NAR_DRG0BPIAV	7MW-3711	7MW 3711; 7MW3711		PRESUMED_STRICT_ADC	PRESUMED_ADC	CD276 antigen (CD276)	Mabwell (Shanghai) Bioscience Co., Ltd	Investigative	Investigative				nar_reference; conference_abstract_corpus	2	DRG0BPIAV; ADC_SUFFIX_2b8468f2a5c1	MULTISOURCE_CONFIRMED
NAR_DRG0BRHCV	KM254-ADC	KM254 ADC; KM254ADC			REFERENCE_UNCLASSIFIED	Receptor tyrosine-protein kinase erbB-2 (HER2)	Xuanzhu Biopharmaceutical Co., Ltd	Investigative	Investigative				nar_reference	1	DRG0BRHCV	REFERENCE_CONFIRMED
NAR_DRG0BSQPI	Sacituzumab tirumotecan	A-264; KL-A264; MK-2870; MK2870; SKB 264; SKB-264; SKB264; TROP-2-targeted antibody-drug conjugate; sacituzumab tirumotecan(MK-2870)		PRESUMED_STRICT_ADC	PRESUMED_ADC	Tumor-associated calcium signal transducer 2 (TROP2)	Sichuan Kelun Pharmaceutical Co., Ltd; KLUS Pharma, Inc; Merck & Co., Inc	Approved	Approved (FDA): Nov, 2024	NCT05347134; NCT05351788; NCT05445908; NCT05631262; NCT05642780			nar_reference; clinicaltrials; conference_abstract_corpus	3	DRG0BSQPI; ADC_SUFFIX_96c87500d97f	MULTISOURCE_CONFIRMED
NAR_DRG0BSWTQ	QLS5316				REFERENCE_UNCLASSIFIED			Phase1	Phase 1	NCT07358884			nar_reference	1	DRG0BSWTQ	REFERENCE_CONFIRMED
NAR_DRG0BWCTV	ARX-305	ARX 305; ARX-305; ARX305; NCB-002		PRESUMED_STRICT_ADC	PRESUMED_ADC	CD70 antigen (CD70)	Ambrx, Inc; Zhejiang Medicine Co., Ltd; Novocodex Biopharmaceuticals Co., Ltd	Phase1	Phase 1				nar_reference; conference_abstract_corpus	2	DRG0BWCTV; ADC_SUFFIX_93de8abf551b	MULTISOURCE_CONFIRMED
NAR_DRG0BWWWF	BL-M15D1				REFERENCE_UNCLASSIFIED			Phase1	Phase 1				nar_reference	1	DRG0BWWWF	REFERENCE_CONFIRMED
NAR_DRG0BXRDQ	Veltuzumab-SN-38	Vmab-SN-38			REFERENCE_UNCLASSIFIED	B-lymphocyte antigen CD20 (MS4A1)		Investigative	Investigative				nar_reference	1	DRG0BXRDQ	REFERENCE_CONFIRMED
NAR_DRG0BZCIJ	DAC-002				REFERENCE_UNCLASSIFIED			Phase1	Phase 1				nar_reference	1	DRG0BZCIJ	REFERENCE_CONFIRMED
NAR_DRG0BZEMH	JAB-BX400	JAB BX400; JABBX400			REFERENCE_UNCLASSIFIED	Receptor tyrosine-protein kinase erbB-2 (HER2)	Jacobio Pharmaceuticals Group Co., Ltd	Investigative	Investigative				nar_reference	1	DRG0BZEMH	REFERENCE_CONFIRMED
NAR_DRG0CAEXH	RC-118	RC-118; RC118; RC118-ADC,YH005; Recombinant humanized IgG1 anti-Claudin18.2 monoclonal antibody conjugated to MMAE; YH-005; YH005; YH005-ADC			REFERENCE_UNCLASSIFIED	Claudin-18.2 (CLDN18.2)	RemeGen Co., Ltd; Biocytogen Pharmaceuticals (Beijing) Co., Ltd; Eucure (Beijing) Biopharma Co., Ltd	Phase2	Phase 1/2	NCT03895112; NCT04914117; NCT05205850			nar_reference	1	DRG0CAEXH	REFERENCE_CONFIRMED
NAR_DRG0CBHSI	MG1901				REFERENCE_UNCLASSIFIED			Phase1	Phase 1				nar_reference	1	DRG0CBHSI	REFERENCE_CONFIRMED
NAR_DRG0CBLIJ	BGB-C354			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1	NCT06422520			nar_reference; clinicaltrials; conference_abstract_corpus	3	DRG0CBLIJ; ADC_SUFFIX_7d5cc5faf0c5	MULTISOURCE_CONFIRMED
NAR_DRG0CCEQO	ABBV-400	ABBV-400; ABBV 400; ABBV400		PRESUMED_STRICT_ADC	PRESUMED_ADC	Hepatocyte growth factor receptor (MET)	AbbVie, Inc	Phase3	Phase 3				nar_reference; conference_abstract_corpus	2	DRG0CCEQO; ADC_SUFFIX_cea3e3b96906	MULTISOURCE_CONFIRMED
NAR_DRG0CCQWD	MM-310	MM 310; MM-310; MM310			REFERENCE_UNCLASSIFIED	Ephrin type-A receptor 2 (EPHA2)	Merrimack Pharmaceuticals, Inc	Phase1	Phase 1 (Terminated)	NCT03076372			nar_reference	1	DRG0CCQWD	REFERENCE_CONFIRMED
NAR_DRG0CDYJL	MYTX-011	MYTX 011; MYTX-011; MYTX011		PRESUMED_STRICT_ADC	PRESUMED_ADC	Hepatocyte growth factor receptor (MET)	Mythic Therapeutics, Inc	Phase1	Phase 1	NCT05652868			nar_reference; clinicaltrials; conference_abstract_corpus	3	DRG0CDYJL; ADC_SUFFIX_0005d1a45508	MULTISOURCE_CONFIRMED
NAR_DRG0CECRA	Trastuzumab rezetecan	SHR A1811; SHR-A1811; SHRA1811		PRESUMED_STRICT_ADC	PRESUMED_ADC	Receptor tyrosine-protein kinase erbB-2 (HER2)	Jiangsu Hengrui Pharmaceuticals Co., Ltd; Suzhou Suncadia Biopharmaceuticals Co., Ltd	Approved	Approved (FDA): May, 2025	NCT04446260; NCT04513223; NCT04818333; NCT05349409; NCT05353361; NCT05424835; NCT05482568; NCT05582499; NCT05594095; NCT05635487; NCT05671822; NCT05749588; NCT05769010			nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed	5	DRG0CECRA; ADC_SUFFIX_fb1411f8d4c0	MULTISOURCE_CONFIRMED
NAR_DRG0CEJDT	DB-1317			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1	NCT07141706			nar_reference; conference_abstract_corpus	2	DRG0CEJDT; ADC_SUFFIX_75698c594f9a	MULTISOURCE_CONFIRMED
NAR_DRG0CESQS	Recombinant humanized anti-Trop2 antibody				REFERENCE_UNCLASSIFIED			Phase1	Phase 1				nar_reference	1	DRG0CESQS	REFERENCE_CONFIRMED
NAR_DRG0CHZRH	NEP1-40	1D9; 1H2; 2E10; 7E11; NEP1 40			REFERENCE_UNCLASSIFIED	Tumor necrosis factor receptor superfamily member 16 (NGFR)	Biogen, Inc	Investigative	Investigative				nar_reference	1	DRG0CHZRH	REFERENCE_CONFIRMED
NAR_DRG0CIZWI	AMT-676	AMT 676; AMT-676; AMT676		PRESUMED_STRICT_ADC	PRESUMED_ADC	Cadherin-17 (CDH17)	Multitude Therapeutics, Inc	Phase1	Phase 1				nar_reference; clinicaltrials; conference_abstract_corpus	3	DRG0CIZWI; ADC_SUFFIX_49d8e820b15c	MULTISOURCE_CONFIRMED
NAR_DRG0CKSWS	CMG-901	CMG 901; CMG-901; CMG901; MRG005; Sonesitatug vedotin; AZD0901		PRESUMED_STRICT_ADC	PRESUMED_ADC	Claudin-18.2 (CLDN18.2)	Keymed Biosciences, Inc; Shanghai Miracogen Inc; Lepu Biopharma Co., Ltd; AstraZeneca PLC	Phase3	Phase 3	NCT04805307			nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	4	DRG0CKSWS; ADC_CANDIDATE_ADC_SUFFIX_2aaade2f940a; ADC_SUFFIX_d61db8f788e1; ADC_SUFFIX_9211c9eb50d7	MULTISOURCE_CONFIRMED
NAR_DRG0CKWNZ	BA-3181	BA 3181; BA3181; CAB-EpCAM-ADC			REFERENCE_UNCLASSIFIED	Epithelial cell adhesion molecule (EPCAM)	BioAtla, Inc	Investigative	Investigative				nar_reference	1	DRG0CKWNZ	REFERENCE_CONFIRMED
NAR_DRG0CLBRQ	NNAS-Mc-Val-Cit-PABC-MMAE	NNAS-vcMMAE			REFERENCE_UNCLASSIFIED	Receptor tyrosine-protein kinase erbB-2 (HER2)	Genzyme Corp	Investigative	Investigative				nar_reference	1	DRG0CLBRQ	REFERENCE_CONFIRMED
NAR_DRG0CMPYD	ADCX-020				REFERENCE_UNCLASSIFIED			Phase1	Phase 1	NCT07238075			nar_reference	1	DRG0CMPYD	REFERENCE_CONFIRMED
NAR_DRG0CMUPE	BG-C0902			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1	NCT07181681			nar_reference; clinicaltrials	2	DRG0CMUPE; ADC_SUFFIX_d1a480c97cda	MULTISOURCE_CONFIRMED
