canonical_name	aliases	development_codes	target	company	highest_stage	development_status	nct_ids	adc_scope	catalog_status	sources
ADCT-901	3A4-PL1601; ADCT 901; ADCT-901; ADCT901		Kidney-associated antigen 1 (KAAG1)	ADC Therapeutics SA; Overland Pharmaceuticals	Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
AZD-5335					Phase2	Phase 2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
LMB-12	LMB 12; SS1-dsFv-LRggs		Mesothelin (MSLN)		Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SLV-324					Phase1	Phase 1	NCT07108114	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ALT-Q5	ALT-Q5 ADC; ALT Q5 ADC; Q5-drug conjugate (Alteogen); ALT Q5; ALT-05; ALTQ5		Folate receptor alpha (FOLR1)	Alteogen, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
7MW-3711	7MW 3711; 7MW3711		CD276 antigen (CD276)	Mabwell (Shanghai) Bioscience Co., Ltd	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
KM254-ADC	KM254 ADC; KM254ADC		Receptor tyrosine-protein kinase erbB-2 (HER2)	Xuanzhu Biopharmaceutical Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Sacituzumab tirumotecan	A-264; KL-A264; MK-2870; MK2870; SKB 264; SKB-264; SKB264; TROP-2-targeted antibody-drug conjugate; sacituzumab tirumotecan(MK-2870)		Tumor-associated calcium signal transducer 2 (TROP2)	Sichuan Kelun Pharmaceutical Co., Ltd; KLUS Pharma, Inc; Merck & Co., Inc	Approved	Approved (FDA): Nov, 2024	NCT05347134; NCT05351788; NCT05445908; NCT05631262; NCT05642780	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
QLS5316					Phase1	Phase 1	NCT07358884	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ARX-305	ARX 305; ARX-305; ARX305; NCB-002		CD70 antigen (CD70)	Ambrx, Inc; Zhejiang Medicine Co., Ltd; Novocodex Biopharmaceuticals Co., Ltd	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
BL-M15D1					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Veltuzumab-SN-38	Vmab-SN-38		B-lymphocyte antigen CD20 (MS4A1)		Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
DAC-002					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
JAB-BX400	JAB BX400; JABBX400		Receptor tyrosine-protein kinase erbB-2 (HER2)	Jacobio Pharmaceuticals Group Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
RC-118	RC-118; RC118; RC118-ADC,YH005; Recombinant humanized IgG1 anti-Claudin18.2 monoclonal antibody conjugated to MMAE; YH-005; YH005; YH005-ADC		Claudin-18.2 (CLDN18.2)	RemeGen Co., Ltd; Biocytogen Pharmaceuticals (Beijing) Co., Ltd; Eucure (Beijing) Biopharma Co., Ltd	Phase2	Phase 1/2	NCT03895112; NCT04914117; NCT05205850	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MG1901					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BGB-C354					Phase1	Phase 1	NCT06422520	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
ABBV-400	ABBV-400; ABBV 400; ABBV400		Hepatocyte growth factor receptor (MET)	AbbVie, Inc	Phase3	Phase 3		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
MM-310	MM 310; MM-310; MM310		Ephrin type-A receptor 2 (EPHA2)	Merrimack Pharmaceuticals, Inc	Phase1	Phase 1 (Terminated)	NCT03076372	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MYTX-011	MYTX 011; MYTX-011; MYTX011		Hepatocyte growth factor receptor (MET)	Mythic Therapeutics, Inc	Phase1	Phase 1	NCT05652868	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
Trastuzumab rezetecan	SHR A1811; SHR-A1811; SHRA1811		Receptor tyrosine-protein kinase erbB-2 (HER2)	Jiangsu Hengrui Pharmaceuticals Co., Ltd; Suzhou Suncadia Biopharmaceuticals Co., Ltd	Approved	Approved (FDA): May, 2025	NCT04446260; NCT04513223; NCT04818333; NCT05349409; NCT05353361; NCT05424835; NCT05482568; NCT05582499; NCT05594095; NCT05635487; NCT05671822; NCT05749588; NCT05769010	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed
DB-1317					Phase1	Phase 1	NCT07141706	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
Recombinant humanized anti-Trop2 antibody					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
NEP1-40	1D9; 1H2; 2E10; 7E11; NEP1 40		Tumor necrosis factor receptor superfamily member 16 (NGFR)	Biogen, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
AMT-676	AMT 676; AMT-676; AMT676		Cadherin-17 (CDH17)	Multitude Therapeutics, Inc	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
CMG-901	CMG 901; CMG-901; CMG901; MRG005; Sonesitatug vedotin; AZD0901		Claudin-18.2 (CLDN18.2)	Keymed Biosciences, Inc; Shanghai Miracogen Inc; Lepu Biopharma Co., Ltd; AstraZeneca PLC	Phase3	Phase 3	NCT04805307	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
BA-3181	BA 3181; BA3181; CAB-EpCAM-ADC		Epithelial cell adhesion molecule (EPCAM)	BioAtla, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
NNAS-Mc-Val-Cit-PABC-MMAE	NNAS-vcMMAE		Receptor tyrosine-protein kinase erbB-2 (HER2)	Genzyme Corp	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ADCX-020					Phase1	Phase 1	NCT07238075	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BG-C0902					Phase1	Phase 1	NCT07181681	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials
JK-06	JK 06; JK-06; JK06		Trophoblast glycoprotein (TPBG)	Salubris Biotherapeutics, Inc	Phase2	Phase 1/2		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ABBV-901					Phase1	Phase 1	NCT07278336	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Telisotuzumab vedotin	ABBV 399; ABBV-399; ABBV399; ABT 399; ABT-399; Teliso-V; Teliso-V (ABBV-399); Telisotuzumab vedotin		Hepatocyte growth factor receptor (MET)	AbbVie, Inc; BSP Pharmaceuticals SpA	Approved	Approved (FDA): May, 2025	NCT00723359; NCT01001442; NCT01270698; NCT01472016; NCT01605318; NCT01638936; NCT01915472; NCT02099058	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
DS6-DM1	DS6DM1; DS6 DM1		Mucin-1 (MUC1)	ImmunoGen, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
HKT-288	HKT 288; HKT-288; HKT28 8, NOV-13; HKT288; NOV-13		Cadherin-6 (CDH6)	Novartis Pharma AG; Novartis AG	Phase1	Phase 1 (Terminated)	NCT02947152	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
DP-303c	DP 303c; DP-303c; DP303c		Receptor tyrosine-protein kinase erbB-2 (HER2)	CSPC Zhongqi Pharmaceutical Technology Shijiazhuang Co., Ltd; CSPC Pharmaceutical Group Ltd	Phase3	Phase 3	NCT04146610; NCT04826107; NCT04828616; NCT05334810	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc; pubmed
MG2011C	MG2011C (Shanghai MabGen Biotech); MG-2011C; MG 2011C		Undisclosed	Shanghai MabGen Biotech Ltd; Shanghai Meijing Science & Technology Co. Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
AZD-9592					Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
Serclutamab talirine	ABBV 321; ABBV-321; ABBV321; Serclutamab talirine		Epidermal growth factor receptor (EGFR)	AbbVie, Inc	Phase1	Phase 1 (Terminated)	NCT03234712	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc
JSKN022					Phase1	Phase 1	NCT07292402	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
SIBP-A19					Phase1	Phase 1	NCT06990464	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
OGD-204	OGD 204; OGD204		O-acetyl derivative of GD2 ganglioside (OAcGD2)	OGD2 Pharma SAS	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Trastuzumab emtansine	PRO-132365; ADO-Trastuzumab Emtansine; R-3502; R3502; RG 3502; RG-3502; RO 5304020; RO-5304020; T-DM1; DM1-trastuzumab immunoconjugate; Herceptin-DM1; Trastuzu; Trastuzumab-DM1; Trastuzumab-DM1 immunoconjugate; Trastuzumab-MCC-DM1; Trastuzumab-MCC-DM1 antibody-drug conjugate		Receptor tyrosine-protein kinase erbB-2 (HER2)	Genentech, Inc; Roche Holding AG; Chugai Pharmaceutical Co., Ltd; F. Hoffmann-La Roche Ltd	Approved	Approved (FDA): Feb 22, 2013	NCT01702571; NCT01966471; NCT02465060; NCT02924883; NCT02999672; NCT03032107	STRICT_ADC	MULTISOURCE_CONFIRMED	nar_reference; configs/known_adc_assets.yaml; clinicaltrials
Patritumab deruxtecan	HER3-DXd; Patritumab deruxtecan; Patritumab-DX-8951 conjugate; U3-1402; U3-1402a		Receptor tyrosine-protein kinase erbB-3 (HER3)	Daiichi Sankyo Co., Ltd; AstraZeneca PLC; Baxter Oncology GmbH; BSP Pharmaceuticals SpA	Phase3	Phase 3	NCT03260491	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
SHR-7631					Phase1	Phase 1	NCT06381050	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
A-410	A 410; A410		Nectin-4 (NECTIN4)	Sichuan Kelun Pharmaceutical Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
XYD-9668-198	XYD 9668-198; XYD9668-198		Undisclosed	Kunshan Xinyunda Biotechnology Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
HLX-43	HLX 43; HLX-43; HLX43; YL222		Programmed cell death 1 ligand 1 (CD274)	Shanghai Henlius Biotech, Inc; Shanghai Fosun Pharmaceutical (Group) Co., Ltd	Phase2	Phase 2		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CPO-301	CPO301; CPO 301		Epidermal growth factor receptorn (EGFR C797S) (EGFR C797S)	CSPC Pharmaceutical Group Ltd	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials
Vobramitamab duocarmazine	AEX4089DC1; Anti-B7-H3 antibody drug conjugate; MGC 018; MGC-018; MGC018; Vobramitamab duocarmazine		CD276 antigen (CD276)	MacroGenics, Inc	Phase2	Phase 2	NCT03729596; NCT05293496; NCT05551117	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
Cantuzumab mertansine	C-242 DM1; C-242 May; C242 maytansinoid conjugate; Cantuzumab mertansine; Monoclonal antibody C-242 DM1 conjugate; Monoclonal antibody C-242 May conjugate; Monoclonal antibody huC242-May conjugate; SB-408075; huC242 maytansinoid conjugate; huC242-DM1		Mucin-1 (MUC1)	ImmunoGen, Inc	Phase1	Phase 1 (Terminated)		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
IMAB362-Val-Cit-MMAE	IMAB362 vcMMAE; IMAB362-vc-MMAE; IMAB362 vc MMAE		Claudin-18.2 (CLDN18.2)	Ganymed Pharmaceuticals AG; Astellas Pharma, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
DB-1305	BNT325; DB 1305; DB-1305; DB1305		Tumor-associated calcium signal transducer 2 (TROP2)	Duality Biologics	Phase2	Phase 1/2	NCT05438329	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
