entity_id	canonical_name	entity_type	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
PATR0XOETL	Peptidyl-prolyl cis-trans isomerase FKBP1A (FKBP1A)	PAYLOAD_MOA_TARGET	FKBP1; FKBP12; PPIase FKBP1A; 12 kDa FK506-binding protein (12 kDa FKBP; FKBP-12); Calstabin-1; FK506-binding protein 1A (FKBP-1A); Immunophilin FKBP12; Rotamase	1	CD184-tacrolimus antibody drug conjugate		https://adcdb.idrblab.net/data/plt/details/PATR0XOETL
PATR0EDGBM	Phospholipid hydroperoxide glutathione peroxidase (GPX4)	PAYLOAD_MOA_TARGET	Glutathione peroxidase 4	2	Milatuzumab-RSL3-NH2; Trastuzumab-RSL3-NH2		https://adcdb.idrblab.net/data/plt/details/PATR0EDGBM
PATR0SSKXI	Pro-epidermal growth factor (EGF)	PAYLOAD_MOA_TARGET		1	Monoclonal antibody B43-genistein-conjugate		https://adcdb.idrblab.net/data/plt/details/PATR0SSKXI
PATR0CMGNI	Protein cereblon (CRBN)	PAYLOAD_MOA_TARGET	AD-006	90	Anti-CD33 AB1 Compound (Ia); Anti-CD33 AB1 Compound (Ib); Anti-CD33 AB1 Compound (Ic); Anti-CD33 AB1 Compound (Id); Anti-CD33 AB1 Compound (Ie); Anti-CD33 AB1 Compound (If); Anti-CD33 AB1 Compound (Ig); Anti-CD33 AB1 Compound (Ih); Anti-CD33 AB1 Compound (Ii); Anti-CD33 AB1 Compound (Ij); Anti-CD33 AB1 Compound (Ik); Anti-CD33 AB1 Compound (Il); Anti-CD33 AB1 Compound (Im); Anti-CD33AB-Compound (Ia); Anti-CD33AB-Compound (Ib); Anti-CD33AB-Compound (Ic); Anti-CD33AB-Compound (Ie); Anti-CD33AB-Compound (Ih); Belantamab-Compound (Ia); Cetuximab-Comound (Ia); DRG0CKSTC; DRG0FIZST; DRG0HDRBW; Daratumumab-Compound (Ia); Gemtuzumab-Compound (Ia); Gemtuzumab-Compound (Ib); Gemtuzumab-Compound (Ic); Gemtuzumab-Compound (Ie); Gemtuzumab-Compound (Ih); HuAT12/5-Compound (Ia)		https://adcdb.idrblab.net/data/plt/details/PATR0CMGNI
PATR0JAEQK	Receptor-interacting serine/threonine-protein kinase 1 (RIPK1)	PAYLOAD_MOA_TARGET	Cell death protein RIP; Receptor-interacting protein 1	1	Quinoin cetuximab immunoconjugate		https://adcdb.idrblab.net/data/plt/details/PATR0JAEQK
PATR0IMSYD	Ribosome (RB)	PAYLOAD_MOA_TARGET		15		DRG0AFXBF; DRG0CPRLB; DRG0DQPIH; DRG0FFZVR; DRG0FZKVR; DRG0GOQOC; DRG0IKWPY; DRG0ISFPP; DRG0IXKOE; DRG0JWYXR; DRG0KBJWO; DRG0LNACX; DRG0MZYPU; DRG0QVUMQ; DRG0YZEVV	https://adcdb.idrblab.net/data/plt/details/PATR0IMSYD
PATR0CXANT	Solute carrier family 2, facilitated glucose transporter member 1 (SLC2A1)	PAYLOAD_MOA_TARGET	Glucose transporter type 1, erythrocyte/brainHepG2 glucose transporter	1	2-DG/aV-siCPT1C		https://adcdb.idrblab.net/data/plt/details/PATR0CXANT
PATR0YEYYS	Stimulator of interferon genes protein (STING1)	PAYLOAD_MOA_TARGET	Endoplasmic reticulum interferon stimulator; Mediator of IRF3 activation; Transmembrane protein 173	13		DRG0BGJNX; DRG0BZEMH; DRG0DSMMR; DRG0EZYUP; DRG0KTTFS; DRG0LCTJI; DRG0LEQIY; DRG0LIYTM; DRG0OVIXA; DRG0PTXBI; DRG0RANRT; DRG0TCKKR; DRG0UOCWT	https://adcdb.idrblab.net/data/plt/details/PATR0YEYYS
PATR0YCTTJ	TGF-beta receptor type-2 (TGFBR2)	PAYLOAD_MOA_TARGET	TGF-beta type II receptorTransforming growth factor-beta receptor type II	1	TGF-beta-R antagonist		https://adcdb.idrblab.net/data/plt/details/PATR0YCTTJ
PATR0CZQGR	Toll-like receptor 7 (TLR7); Toll-like receptor 8 (TLR8)	PAYLOAD_MOA_TARGET		5		DRG0AJQLB; DRG0EOFTU; DRG0HVSBG; DRG0QQETS; DRG0UJUZQ	https://adcdb.idrblab.net/data/plt/details/PATR0CZQGR
PATR0ZYOQI	Toll-like receptor 7 (TLR7)	PAYLOAD_MOA_TARGET		4		DRG0EZNOG; DRG0NSVEM; DRG0UIDCY; DRG0WOXQU	https://adcdb.idrblab.net/data/plt/details/PATR0ZYOQI
PATR0WBUXK	Toll-like receptor 8 (TLR8)	PAYLOAD_MOA_TARGET	CD_antigen=CD288	3		DRG0EGZQD; DRG0TWLXC; DRG0YPVKH	https://adcdb.idrblab.net/data/plt/details/PATR0WBUXK
PATR0EDFVC	Toll-like receptor 9 (TLR9)	PAYLOAD_MOA_TARGET	CD_antigen=CD289	3		DRG0PASNX; DRG0USILO; DRG0UWYXJ	https://adcdb.idrblab.net/data/plt/details/PATR0EDFVC
PAYTAR0NGZJA	Undisclosed	PAYLOAD_MOA_TARGET		24	ABBV-324; ABBV-901; ADCE-B05; DB-1202; DRG0GBYCW; DRG0HPXEI; DRG0LVYDG; DRG0NAWMD; DRG0PQEHI; DRG0SHHMV; DRG0VWSAX; DRG0XXQUG; HS-20122; JNJ-89862175; MK-6204; PF-06688992; PHN-012; SBO-154; SHR-7782; SLV-154; SLV-324; SYS6040; TQB2101; XYD-9668-198		https://adcdb.idrblab.net/data/plt/details/PAYTAR0NGZJA
PAYTAR0NIVMV	isoflavone tyrosine kinase	PAYLOAD_MOA_TARGET		1	B43-genistein		https://adcdb.idrblab.net/data/plt/details/PAYTAR0NIVMV
