entity_id	canonical_name	entity_type	payload_moa_target	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
PAY0LUPMV	T-651 similar fusion inhibitor	ADC_PAYLOAD	Envelope glycoprotein gp160 (env) The activity data of This Payload Standard Type Value Units Cell line Disease Model Cell line ID Reference Half Maximal Inhibitory Concentration (IC50) 10.0±2.1 ng/mL C597-8-H0 virus Human immunodeficiency virus type 1 Undisclosed [ 1 ] Half Maximal Inhibitory Concentration (IC50) 10.2±2.7 ng/mL 93TH6.9 virus Human immunodeficiency virus type 1 Undisclosed [ 1 ] Half Maximal Inhibitory Concentration (IC50) 10.5±0.8 ng/mL SF162 virus Human immunodeficiency virus type 1 Undisclosed [ 1 ] Half Maximal Inhibitory Concentration (IC50) 3.1±2.2 ng/mL NLBal virus Human immunodeficiency virus type 1 Undisclosed [ 1 ] Half Maximal Inhibitory Concentration (IC50) 42.1±4.5 ng/mL NL4-3 virus Human immunodeficiency virus type 1 Undisclosed [ 1 ] Half Maximal Inhibitory Concentration (IC50) 5.8±1.2 ng/mL JRFL virus Human immunodeficiency virus type 1 Undisclosed [ 1 ] Half Maximal Inhibitory Concentration (IC50) 6.2±0.8 ng/mL CS81-69-E09 virus Human immunodeficiency virus type 1 Undisclosed [ 1 ] Half Maximal Inhibitory Concentration (IC50) 6.3±0.6 ng/mL CS81-4-G0 virus Human immunodeficiency virus type 1 Undisclosed [ 1 ] Half Maximal Inhibitory Concentration (IC50) 7.5±2.5 ng/mL HXB2 virus Human immunodeficiency virus type 1 Undisclosed [ 1 ] References Ref 1 CD4-BFFI: a novel, bifunctional HIV-1 entry inhibitor with high and broad antiviral potency. Antiviral Res. 2009 Sep;83(3):257-66.	T-651 similar fusion inhibitor	0			https://adcdb.idrblab.net/data/payload/details/PAY0LUPMV
PAY0LVQIM	T785	ADC_PAYLOAD			1	Trastuzumab imbotolimod		https://adcdb.idrblab.net/data/payload/details/PAY0LVQIM
PAY0KEIJX	TAM470	ADC_PAYLOAD	Microtubule (MT)	TAM470; SCHEMBL16979627; HY-148128; CS-0612970	1		DRG0HOBUN	https://adcdb.idrblab.net/data/payload/details/PAY0KEIJX
PAY0FGSQY	TAMTM	ADC_PAYLOAD			1	BIO-106		https://adcdb.idrblab.net/data/payload/details/PAY0FGSQY
PAY0NKCWV	TAMTM	ADC_PAYLOAD	Microtubule (MT)		1		DRG0YODKD	https://adcdb.idrblab.net/data/payload/details/PAY0NKCWV
PAY0VGPNK	TCS132 (AxcynDOT)	ADC_PAYLOAD			0			https://adcdb.idrblab.net/data/payload/details/PAY0VGPNK
PAY0OMEED	TGFBR2 antagonist	ADC_PAYLOAD	TGF-beta receptor type-2 (TGFBR2)	TGFBR2 antagonist	0			https://adcdb.idrblab.net/data/payload/details/PAY0OMEED
PAY0PDMRA	TLR7 agonist-1	ADC_PAYLOAD	Toll-like receptor 7 (TLR7)	TLR7 agonist-1	1	Anti-HER2_vc-1		https://adcdb.idrblab.net/data/payload/details/PAY0PDMRA
PAY0JBSYM	TLR7 agonist-2	ADC_PAYLOAD	Toll-like receptor 7 (TLR7)	TLR7 agonist-2	0			https://adcdb.idrblab.net/data/payload/details/PAY0JBSYM
PAY0WNJHK	TLR7 agonist-7	ADC_PAYLOAD	Toll-like receptor 7 (TLR7) The activity data of This Payload Standard Type Value Units Cell line Disease Model Cell line ID Reference Half Maximal Inhibitory Concentration (IC50) >10 ug/mL HEK293 cells Normal CVCL_0045 [ 1 ] References Ref 1 Design and Characterization of Immune-Stimulating Imidazo[4,5-c]quinoline Antibody-Drug Conjugates. Mol Pharm. 2022 Sep 5;19(9):3228-3241.	TLR7 agonist-7	0			https://adcdb.idrblab.net/data/payload/details/PAY0WNJHK
PAY0DBLHH	TLR7 agonist	ADC_PAYLOAD			1	NJH395		https://adcdb.idrblab.net/data/payload/details/PAY0DBLHH
