entity_id	canonical_name	entity_type	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
TAR0CZOZP	Carbonic anhydrase 9 (CA9)	ADC_TARGET	G250; MN; Carbonate dehydratase IX;Carbonic anhydrase IX;Membrane antigen MN;P54/58N;Renal cell carcinoma-associated antigen G250;pMW1	1	BAY79-4620		https://adcdb.idrblab.net/data/abt/details/TAR0CZOZP
TAR0LZKYJ	Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5); Carcinoembryonic antigen-related cell adhesion molecule 6 (CEACAM6)	ADC_TARGET		2		DRG0EOVVI; DRG0QBQKB	https://adcdb.idrblab.net/data/abt/details/TAR0LZKYJ
TAR0MKNCY	Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5)	ADC_TARGET	CEA; Carcinoembryonic antigen;Meconium antigen 100;CD_antigen=CD66e	10		DRG0ALLLF; DRG0ELYWP; DRG0JBKMD; DRG0LGTWF; DRG0MAFFO; DRG0QGQWG; DRG0QITMW; DRG0VIUMF; DRG0XNZXI; DRG0ZTOWU	https://adcdb.idrblab.net/data/abt/details/TAR0MKNCY
TAR0RCSUJ	Cathepsin D (CTSD)	ADC_TARGET	CPSD	2	IMB-101; IMB-102		https://adcdb.idrblab.net/data/abt/details/TAR0RCSUJ
TAR0YDDCI	Cell surface glycoprotein MUC18 (MCAM)	ADC_TARGET	Cell surface glycoprotein P1H12; Melanoma cell adhesion molecule; Melanoma-associated antigen A32; Melanoma-associated antigen MUC18; S-endo 1 endothelial-associated antigen; CD146; MUC18; MCAM	1	AMT-253		https://adcdb.idrblab.net/data/abt/details/TAR0YDDCI
TAR0DCTSO	Cell surface protein 1 (CSP-1)	ADC_TARGET		1		DRG0JVDPQ	https://adcdb.idrblab.net/data/abt/details/TAR0DCTSO
TAR0NTSJM	Cellular tumor antigen p53 (TP53)	ADC_TARGET		2	DRG0PYXMD; PNU-159682-P1C1TM		https://adcdb.idrblab.net/data/abt/details/TAR0NTSJM
TAR0QEWGD	Choline transporter-like protein 4 (SLC44A4)	ADC_TARGET	Solute carrier family 44 member 4;Thiamine pyrophosphate transporter 1	1	ASG-5ME		https://adcdb.idrblab.net/data/abt/details/TAR0QEWGD
TAR0OUVMC	Claudin-1 (CLDN1)	ADC_TARGET	CLD1; SEMP1; Senescence-associated epithelial membrane protein	2	CLDN1 ADC; DRG0JFRFY		https://adcdb.idrblab.net/data/abt/details/TAR0OUVMC
TAR0IBZAS	Claudin-18.2 (CLDN18.2)	ADC_TARGET		36		DRG0BCSND; DRG0BGTSR; DRG0BWWWF; DRG0CAEXH; DRG0CKSWS; DRG0DFXLU; DRG0DJFNE; DRG0DVBWQ; DRG0DWUQL; DRG0FGLFW; DRG0FKZGF; DRG0GCCJJ; DRG0HBGGX; DRG0HTJXN; DRG0JPUVD; DRG0KPUHG; DRG0LSXKR; DRG0OMIWX; DRG0PRLYC; DRG0PVAIN; DRG0RCHSE; DRG0RLKMU; DRG0RMWCH; DRG0UUOGO; DRG0UWYGQ; DRG0VXYLW; DRG0WMWEQ; DRG0XAFHX; DRG0XDJHA; DRG0XFQVE	https://adcdb.idrblab.net/data/abt/details/TAR0IBZAS
TAR0RYGBQ	Claudin-6 (CLDN6); Claudin-9 (CLDN9)	ADC_TARGET		1	SC-004		https://adcdb.idrblab.net/data/abt/details/TAR0RYGBQ
TAR0UDQEU	Claudin-6 (CLDN6)	ADC_TARGET	Skullin	4		DRG0HONIM; DRG0JXYIZ; DRG0KYOBC; DRG0TOMLD	https://adcdb.idrblab.net/data/abt/details/TAR0UDQEU
TAR0ROZDZ	Collectin-10 (COLEC10)	ADC_TARGET	CLL1; UNQ366; PRO702; Collectin liver protein 1;Collectin-34	2	DAR2-ARC-ADC; DAR4-ARC-ADC		https://adcdb.idrblab.net/data/abt/details/TAR0ROZDZ
TAR0GORST	Cytotoxic T-lymphocyte protein 4 (CTLA4)	ADC_TARGET	CD152; Cytotoxic T-lymphocyte-associated antigen 4;CD_antigen=CD152	21	CTLA4-IR700; DRG0MPXHJ; DRG0WMDTB; Ipilimumab-Compound 17; Ipilimumab-Compound 25; Ipilimumab-Compound 31; Ipilimumab-Compound 36; Ipilimumab-Compound 43; Ipilimumab-Compound 49; Ipilimumab-Compound 55; Ipilimumab-Compound 59; Ipilimumab-Compound 64; Ipilimumab-Compound 69; Ipilimumab-Compound 74; Ipilimumab-Compound 75; Ipilimumab-Compound 76; Ipilimumab-Compound 77; Ipilimumab-Compound 78; Ipilimumab-Compound 79; Ipilimumab-Compound 80; Ipilimumab-Compound 9		https://adcdb.idrblab.net/data/abt/details/TAR0GORST
TAR0HELFC	Delta-like protein 3 (DLL3)	ADC_TARGET	Drosophila Delta homolog 3	466		DRG0ABVIR; DRG0ADPKB; DRG0AHUQA; DRG0AIOKX; DRG0AIRCI; DRG0AJGCM; DRG0AJHLF; DRG0AKLMI; DRG0ALQJQ; DRG0ANANO; DRG0ANTCA; DRG0AOACQ; DRG0APJSV; DRG0ASKVB; DRG0AVSGQ; DRG0AXHFO; DRG0AZCNV; DRG0BCRWB; DRG0BGCEX; DRG0BILSR; DRG0BLMRR; DRG0BMEAC; DRG0BNQUU; DRG0BNSTZ; DRG0BORQI; DRG0BRNUJ; DRG0BXVIV; DRG0BZEFT; DRG0BZSXZ; DRG0BZYGJ	https://adcdb.idrblab.net/data/abt/details/TAR0HELFC
TAR0PXBRT	Delta-like protein 4 (DLL4)	ADC_TARGET	Drosophila Delta homolog 4	5	H3L2-mpeoDM1; TH2-mpeoDM1; THL4-mpeoDM1; THL4-vcMMAE; TL2-mpeoDM1		https://adcdb.idrblab.net/data/abt/details/TAR0PXBRT
TAR0XXQUD	Dipeptidase 3 (DPEP3)	ADC_TARGET		1		DRG0RZJIL	https://adcdb.idrblab.net/data/abt/details/TAR0XXQUD
TAR0ZEXYE	Dipeptidyl peptidase 4 (DPP4)	ADC_TARGET	ADCP2; CD26; ADABP; Adenosine deaminase complexing protein 2; Dipeptidyl peptidase IV; T-cell activation antigen CD26; TP103; CD_antigen=CD26	5		DRG0MYPUV; DRG0PPLJW; DRG0WCRGI; DRG0WZNFG; DRG0XAMIX	https://adcdb.idrblab.net/data/abt/details/TAR0ZEXYE
TAR0DMCMD	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM9)	ADC_TARGET	KIAA0021; MCMP; MDC9; MLTNG; Cellular disintegrin-related protein;Meltrin-gamma;Metalloprotease/disintegrin/cysteine-rich protein 9;Myeloma cell metalloproteinase	3		DRG0ASYKZ; DRG0BVZGV; DRG0RMBUN	https://adcdb.idrblab.net/data/abt/details/TAR0DMCMD
TAR0VFVMQ	Double homeobox protein 4 (DUX4)	ADC_TARGET	DUX10; Double homeobox protein 10	1		DRG0NDSLT	https://adcdb.idrblab.net/data/abt/details/TAR0VFVMQ
TAR0ZHBGT	Dystrophin (DMD)	ADC_TARGET		1		DRG0TMDKY	https://adcdb.idrblab.net/data/abt/details/TAR0ZHBGT
TAR0IVFDY	E3 ubiquitin-protein ligase RNF43 (RNF43)	ADC_TARGET	RING finger protein 43;RING-type E3 ubiquitin transferase RNF43	1		DRG0XLSWN	https://adcdb.idrblab.net/data/abt/details/TAR0IVFDY
TAR0MQZGA	EDB-FN	ADC_TARGET		1	Micvotabart pelidotin		https://adcdb.idrblab.net/data/abt/details/TAR0MQZGA
TAR0BFBYN	ETB	ADC_TARGET		1	RG7636		https://adcdb.idrblab.net/data/abt/details/TAR0BFBYN
TAR0WNOAJ	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (ENPP1)	ADC_TARGET	Membrane component chromosome 6 surface marker 1; Phosphodiesterase I/nucleotide pyrophosphatase 1; Plasma-cell membrane glycoprotein PC-1	2	MMAE-IgG1 17; MMAE-IgG1 3G12		https://adcdb.idrblab.net/data/abt/details/TAR0WNOAJ
TAR0SJQDK	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (ENPP3)	ADC_TARGET	PDNP3; Phosphodiesterase I beta;Phosphodiesterase I/nucleotide pyrophosphatase 3;CD_antigen=CD203c	1		DRG0QRDUT	https://adcdb.idrblab.net/data/abt/details/TAR0SJQDK
TAR0JWSNY	Endoglin (ENG)	ADC_TARGET	END; CD_antigen=CD105	7	DRG0GBPTW; DRG0KDHYP; DRG0RZQCB; DRG0STKIJ; HuRH105-SMCC-DM1; HuRH105-SSPDB-DM4; OMTX-503		https://adcdb.idrblab.net/data/abt/details/TAR0JWSNY
