indication	n_adc_candidates
Hodgkin Lymphoma, Adult	1
Large Cell Lymphoma	1
Lugano Classification Limited Stage Hodgkin Lymphoma AJCC v8	1
Lymphocyte-Rich Classic Hodgkin Lymphoma	1
Lymphoma, Large B-cell, Diffuse	1
Lymphoma, Large-Cell, Anaplastic	1
Lymphoma, NK-cell	1
Lymphoma, T-Cell	1
Lymphoma, T-Cell, Cutaneous	1
Lymphoma, T-cell	1
Malignant Mesothelioma	1
Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma	1
Mycosis Fungoides	1
NK T-cell Lymphoma	1
Non-Hodgkin Lymphoma (NHL)	1
Peripheral T Cell Lymphoma	1
Peripheral T-Cell Lymphoma	1
Peripheral T-Cell Lymphoma, Not Otherwise Specified	1
Primary Cutaneous Anaplastic Large Cell Lymphoma	1
Recurrent Angioimmunoblastic T-Cell Lymphoma	1
Recurrent Classic Hodgkin Lymphoma	1
Recurrent Enteropathy-Associated T-Cell Lymphoma	1
Recurrent Follicular T-Cell Lymphoma	1
Recurrent Hepatosplenic T-Cell Lymphoma	1
Recurrent Nodal Peripheral T-Cell Lymphoma With TFH Phenotype	1
Recurrent Peripheral T-Cell Lymphoma, Not Otherwise Specified	1
Recurrent Subcutaneous Panniculitis-Like T-Cell Lymphoma	1
Refractory Angioimmunoblastic T-Cell Lymphoma	1
Refractory Classic Hodgkin Lymphoma	1
Refractory Enteropathy-Associated T-Cell Lymphoma	1
Refractory Follicular T-Cell Lymphoma	1
Refractory Hepatosplenic T-Cell Lymphoma	1
Refractory Nodal Peripheral T-Cell Lymphoma With TFH Phenotype	1
Refractory Peripheral T-Cell Lymphoma, Not Otherwise Specified	1
Refractory Subcutaneous Panniculitis-Like T-Cell Lymphoma	1
Relapsed Classic Hodgkin Lymphoma	1
Relapsed or Refractory Anaplastic Large-cell Lymphoma	1
Relapsed or Refractory Hodgkin Lymphoma	1
Sezary Syndrome	1
Stage II Adult Hodgkin Lymphoma	1
Stage II Childhood Hodgkin Lymphoma	1
Stage III Adult Hodgkin Lymphoma	1
Stage III Childhood Hodgkin Lymphoma	1
Stage IV Adult Hodgkin Lymphoma	1
Stage IV Childhood Hodgkin Lymphoma	1
Systemic Anaplastic Large Cell Lymphoma	1
Sézary Syndrome	1
T-Cell Lymphoma	1
T-cell Lymphoma	1
Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive	1
Advanced Lymphoma	1
Advanced Ovarian Carcinoma	1
Advanced Pancreatic Carcinoma	1
Advanced Prostate Carcinoma	1
Advanced Sarcoma	1
Anemia	1
Ann Arbor Stage III Non-Hodgkin Lymphoma	1
Ann Arbor Stage IV Non-Hodgkin Lymphoma	1
Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative	1
Bladder Carcinoma	1
Breast Adenocarcinoma	1
Breast Carcinoma	1
Castration-Resistant Prostate Carcinoma	1
Cervical Carcinoma	1
Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive	1
Colon Carcinoma	1
Colorectal Carcinoma	1
Esophageal Carcinoma	1
Exocrine Pancreas Carcinoma	1
Gastric Carcinoma	1
Glioma	1
HER-2 Positive Breast Cancer	1
HER2 Amplification	1
HER2 Gene Mutation	1
HER2 Mutant Non-small Cell Lung Cancer	1
HER2 Positive Breast Cancers	1
HER2-positive Metastatic Breast Cancer	1
Head and Neck Carcinoma	1
Hematopoietic and Lymphoid System Neoplasm	1
Kidney Carcinoma	1
Liver Carcinoma	1
Locally Advanced Pancreatic Adenocarcinoma	1
Lung Carcinoma	1
Malignant Uterine Corpus Neoplasm	1
Malignant Uterine Neoplasm	1
Metastatic Breast Cancer, HER2 Negative Primary Tumor	1
Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis	1
Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable	1
Ovarian Carcinoma	1
Primary Myelofibrosis	1
Prostate Carcinoma	1
Rectal Carcinoma	1
Recurrent Acute Myeloid Leukemia	1
Recurrent Adult Soft Tissue Sarcoma	1
Recurrent Bladder Carcinoma	1
Recurrent Cervical Carcinoma	1
