candidate_id	candidate_type	candidate_label	source	evidence_id	context	first_seen	confidence	validation_status	reason	modality_classification	modality_detail
ADC_SUFFIX_8a6893c4db01	ADC_CANDIDATE	TAK-500	europe_pmc	MED:41143331	development-code + explicit ADC-context match; example: Identification of a Novel Linker Enabling the Bioconjugation of a Cyclic Dinucleotide for the STING Antibody-Drug Conjugate TAK-500.	2025-10-27	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_b841c053c84e	ADC_CANDIDATE	CX-2009	europe_pmc	MED:41202161	development-code + explicit ADC-context match; example: Defining the Functional Role and Potential as an Immunotherapeutic Target of ALCAM in Neuroblastoma.	2026-04-01	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_a882f5abe21a	ADC_CANDIDATE	HS-20093	europe_pmc	MED:41791381	development-code + explicit ADC-context match; example: HS-20093, a B7-H3-targeted antibody-drug conjugate in lung cancer: Results from the ARTEMIS-001 phase 1a/b trial.	2026-03-05	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_52ee4c7ff1de	ADC_CANDIDATE	GL-2401	europe_pmc	MED:41875589	development-code + explicit ADC-context match; example: Quantification of total and conjugated antibody of a novel ADC in rat by two affinity-capture LC-MS/MS methods using a single surrogate peptide.	2026-03-19	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_5283b1ff9f1f	ADC_CANDIDATE	RGX-019	conference_abstract_corpus; europe_pmc	10.1158/1538-7445.am2024-6341; MED:41896977	development-code + explicit ADC-context match; example: Abstract 6341: Targeting myeloid epithelial tyrosine kinase (MERTK) receptor in acute myeloid leukemia using a novel antibody-drug conjugate, RGX-019-	2024-03-22	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_399050634555	ADC_CANDIDATE	DS-7300a	europe_pmc	MED:42509416	development-code + explicit ADC-context match; example: Enhancing the efficacy of B7-H3-targeting antibody-drug conjugate DS-7300a in TP53-deficient tumors by inducing ferroptosis.	2026-07-27	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_54a1ac046b3f	ADC_CANDIDATE	HTI-1511	conference_abstract_corpus	10.1158/1538-7445.am2016-1217	development-code + explicit ADC-context match; example: Abstract 1217: Preclinical evaluation of a next-generation, EGFR targeting ADC that promotes regression in KRAS or BRAF mutant tumors	2016-07-15	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_85b4313446fb	ADC_CANDIDATE	XMT-1522	conference_abstract_corpus	10.1158/1538-7445.am2017-2670; 10.1158/1538-7445.am2017-48; 10.1200/jco.2017.35.15_suppl.tps2606	development-code + explicit ADC-context match; example: A phase Ib, first-in-human, dose escalation and expansion study of XMT-1522, a novel antibody-drug conjugate (ADC) directed against HER2, in patients 	2017-05-20	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_6e4eb5b83802	ADC_CANDIDATE	IMMU-130	conference_abstract_corpus	10.1158/1538-7445.am2017-4081	development-code + explicit ADC-context match; example: Abstract 4081: Superior SN-38 pharmacodynamic and tumor-accretion profiles of labetuzumab govitecan (IMMU-130) <i>versus</i> irinotecan in experimenta	2017-07-01	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
ADC_SUFFIX_6c751089e23d	ADC_CANDIDATE	ADCT-502	conference_abstract_corpus	10.1158/1538-7445.am2017-52	development-code + explicit ADC-context match; example: Abstract 52: Mechanistic and benchmarking studies of ADCT-502, a pyrrolobenzodiazepine (PBD) dimer-containing antibody-drug conjugate (ADC) targeting 	2017-07-01	medium	NEEDS_REVIEW	development-code-shaped name found in explicit tight grammatical relationship with 'antibody-drug conjugate'/'ADC' (e.g. '<code> is a novel antibody-drug conjugate' or 'the ADC candidate <code>') in free-text title/abstract -- no structured field confirms this, and a development code alone (unlike a USAN/INN suffix) carries no independent payload/linker class evidence; needs a human check before promotion, not auto-promoted regardless of how many sources mention it.	PRESUMED_STRICT_ADC	
